name,vr,teff,logg,feh,teffm,loggm,fehm,ca4227,g4300,hgama,hgamf,fe4383,ca4455,fe4531,fe4668,hbeta,fe5015,mg1,mg2,mgb,fe5270,fe5335,fe5406,fe5709,fe5782,nad,tio1,tio2,sp_type,spec,q_sp_type,q_logg,q_feh,q_vr,logg_m,feh_m
HD014214,33.51,6100,4.16,0.01,5913,3.95,0.08,0.5765,4.0483,-1.184,1.1266,2.4039,0.6469,2.4801,2.9676,3.2105,3.9225,0.0194,0.093,1.9173,1.837,1.5095,0.7145,0.5015,0.3171,1.0743,0.0057,0.0069,G1V,G,C,1,2,0,3.95,0.08
HD014374,24.86,5449,4.3,-0.09,5465,4.53,0.02,1.2842,5.4355,-5.9514,-1.4964,4.9231,0.9985,2.8973,3.8826,1.8485,4.3532,0.0419,0.19,4.1077,2.7472,2.1639,1.4279,0.8458,0.4708,1.8862,0.0047,0.0054,G8V,G,C,1,2,0,4.53,0.02
HD014625,6.11,4513,2.42,0,4735,2.76,0.18,0.8161,6.1352,-8.5651,-2.6249,6.3179,1.5591,3.5588,7.8023,1.5755,6.594,0.0755,0.1981,3.2548,3.5698,2.9852,2.103,1.3797,0.9326,2.8904,0.0134,0.0233,K0III,K,C,1,0,0,2.76,0.18
HD014626,36.88,4489,2.8,-0.3,4606,2.71,-0.23,-0.0463,4.1647,-5.3943,-2.3106,3.4585,1.3554,3.6589,5.9455,0.9597,5.1724,0.0914,0.2072,3.4742,3.1489,2.6173,1.9142,1.0123,0.8342,2.3728,0.0127,0.0246,K0III,K,C,1,0,0,2.71,-0.23
HD014690,-52.07,7287,3.83,-99,7268,4.1,-0.62,0.2853,0.3259,6.5519,5.4629,0.2669,0.3104,1.9209,0.4149,5.7124,2.9888,-0.0003,0.0391,0.4243,1.0552,1.0245,0.3079,0.1786,0.1535,0.7414,0.0019,0.0036,F0/2V,F,D,1,-1,0,4.1,-0.62
HD014690,-51.17,7287,3.83,-99,7267,4.11,-0.62,0.2712,0.3256,6.5451,5.4708,0.2299,0.328,1.9278,0.3252,5.679,2.9086,-0.0005,0.0383,0.4054,1.039,0.9866,0.3012,0.1785,0.1375,0.7431,0.0023,0.0034,F0/2V,F,D,1,-1,0,4.11,-0.62
HD014690,-23.92,7287,3.57,-99,7303,4.09,-0.61,0.2738,0.312,6.4354,5.4176,0.2516,0.3251,1.8939,0.4005,5.6808,2.9559,0.0031,0.0395,0.3816,1.0906,1.0065,0.2531,0.1463,0.1003,0.6957,0.0053,0.002,F0/2V,F,D,1,-1,0,4.09,-0.61
HD014690,-9.36,7287,3.76,-99,7298,4.09,-0.59,0.2307,0.169,6.3249,5.2638,0.1457,0.226,1.9269,0.3995,5.6358,2.9416,0.0026,0.037,0.4008,1.1234,1.0432,0.2822,0.0923,0.1001,0.9856,0.0147,0.0046,F0/2V,F,D,1,-1,0,4.09,-0.59
HD015596,-111.24,4777,2.5,-0.68,4825,2.74,-0.63,1.0953,6.6512,-6.7403,-2.2638,3.941,1.0233,2.8923,2.8607,1.2098,4.0969,0.0606,0.162,3.0781,2.1748,1.813,1.0977,0.8181,0.403,1.3206,0.0068,0.0092,G8III-IVFe-2,G,C,1,2,0,2.74,-0.63
HD015596,-111.18,4777,2.5,-0.68,4820,2.75,-0.64,1.1122,6.7453,-6.8747,-2.3514,3.8506,1.0132,2.8495,2.8915,1.2108,4.0184,0.0598,0.163,3.0883,2.1273,1.7541,1.1388,0.7641,0.3813,1.3029,0.0067,0.008,G8III-IVFe-2,G,C,1,2,0,2.75,-0.64
HD015596,-111.19,4777,2.5,-0.68,4820,2.75,-0.64,1.1033,6.7292,-6.866,-2.3578,3.8278,1.0038,2.8596,2.9283,1.2074,4.0204,0.0597,0.1626,3.1029,2.1318,1.7426,1.1665,0.7716,0.3713,1.2712,0.0069,0.0081,G8III-IVFe-2,G,C,1,2,0,2.75,-0.64
HD016458,18.38,4509,1.76,-0.28,4498,1.56,-0.3,-0.448,7.5398,-7.8197,-3.2371,4.9091,1.6574,4.2088,11.5143,1,4.8851,0.1596,0.2133,2.2705,3.0967,1.9879,1.5952,1.1677,0.5642,1.5974,0.0111,0.0245,K1Ba5,K,D,1,2,0,1.56,-0.3
HD016765,1.58,6398,4.06,-0.14,6450,4.33,-0.19,0.5282,2.4843,1.323,2.4458,1.4035,0.3981,1.977,1.2444,3.532,3.0088,0.0051,0.0665,1.5277,1.3706,1.0917,0.5414,0.3469,0.2381,0.9562,0,0.0041,F7V,F,C,1,0,0,4.33,-0.19
HD016765,1.29,6400,4.14,-0.13,6450,4.32,-0.2,0.5255,2.4859,1.3053,2.4309,1.3811,0.4056,2.0028,1.1946,3.5593,2.9689,0.0038,0.0654,1.5139,1.3335,1.0863,0.5586,0.3436,0.2354,0.9587,0.0001,0.0043,F7V,F,C,1,0,0,4.32,-0.2
HD016765,7.37,6437,4.09,0.1,6431,4.36,-0.19,0.2921,2.2321,1.4371,2.3598,1.1442,0.3661,2.0108,1.189,3.5345,2.8544,0.0043,0.0619,1.4688,1.3297,1.092,0.4743,0.2969,0.1896,1.104,0.0181,0.0037,F7V,F,C,1,0,0,4.36,-0.19
HD017382,9.36,5425,4.53,0.21,5341,4.62,0.11,1.5456,5.5375,-7.0626,-2.0838,5.7362,1.1175,3.2736,4.6423,1.6301,4.6417,0.0586,0.2288,4.6654,3.2657,2.5994,1.7432,0.9072,0.6065,2.394,0.0007,0.0055,K2,K,D,0,2,0,4.62,0.11
HD017925,17.96,5190,4.44,-0.01,5229,4.62,0.14,1.4985,4.9102,-6.9534,-2.1179,5.9112,1.237,3.611,4.7038,1.3697,4.9396,0.0652,0.2541,4.9507,3.5757,2.984,1.9874,1.0884,0.6496,2.9373,0.007,0.0086,K1V,K,C,1,2,0,4.62,0.14
HD018768,96.78,5733,3.81,-0.53,5726,3.78,-0.54,0.4605,4.7039,-1.8908,0.5573,1.8493,0.4256,1.9196,1.0623,2.6327,2.8945,0.0176,0.0724,1.5282,1.2149,1.019,0.4976,0.4097,0.1293,0.5493,0.0016,-0.0002,F8,F,D,1,3,0,3.78,-0.54
HD018995,-16.29,6970,4.38,-0.05,6774,4.06,-0.14,0.2686,0.3521,5.7227,4.8544,0.107,0.2773,1.6411,0.2885,5.1374,2.4998,0.0014,0.0374,0.6412,0.9975,0.7508,0.3141,0.1629,0.0583,0.6677,0.0029,0.0013,F0,F,E,1,0,0,4.06,-0.14
HD019019,24.62,6063,4,-0.17,5969,4.16,-0.17,0.6305,3.5126,-0.5763,1.4448,2.0202,0.482,2.0988,1.5414,3.0759,3.1494,0.0089,0.0808,1.9085,1.5175,1.171,0.6571,0.4355,0.203,0.7642,0.0069,0.0033,G0V,G,C,1,2,0,4.16,-0.17
HD019304,-97.09,6860,3.88,-0.9,6618,4.17,-0.68,0.2783,0.96,3.8145,3.6294,0.2839,0.2581,1.3325,0.3071,3.943,1.9598,0.0119,0.0416,0.7152,0.7512,0.6164,0.2777,0.1632,0.0014,0.8098,0.0123,0.0034,F2V,F,C,1,0,0,4.17,-0.68
HD019308,32.57,5844,4.3,0.08,5732,4.14,0.1,0.6712,5.1254,-3.3494,-0.1096,3.4791,0.7344,2.6184,4.0586,2.7162,4.2067,0.0276,0.1246,2.7802,2.2013,1.7122,1.0084,0.7279,0.4269,1.6424,0.0015,0.0035,G0,G,E,1,2,0,4.14,0.1
HD019373,49.4,5955,4.12,0.04,5848,3.99,0.04,0.6214,4.4245,-1.8987,0.8071,2.8448,0.6677,2.4413,3.0977,3.0659,3.724,0.0167,0.0975,2.134,1.8236,1.5779,0.7562,0.5976,0.3226,1.3103,0.0029,0.004,G0V,G,B,1,3,0,3.99,0.04
HD019445,-139.74,5963,4.37,-2.01,5750,3.86,-2.21,0.1983,0.8641,2.2432,2.3824,-0.0095,0.0975,0.3619,-0.1188,2.8902,0.5776,0.0102,0.0311,0.8146,0.3153,0.1875,0.1175,0.0797,-0.0621,0.3589,0.0028,-0.0028,G2VFe-3,G,C,1,3,0,3.86,-2.21
